Amedeo Modigliani,Italian
Vasiliy Kandinskiy,Russian
Diego Rivera,Mexican
Claude Monet,French
Rene Magritte,Belgian
Salvador Dali,Spanish
Edouard Manet,French
Andrei Rublev,Russian
Vincent van Gogh,Dutch
Gustav Klimt,Austrian
Hieronymus Bosch,Dutch
Kazimir Malevich,Russian
Mikhail Vrubel,Russian
Pablo Picasso,Spanish
Peter Paul Rubens,Flemish
Pierre-Auguste Renoir,French
Francisco Goya,Spanish
Frida Kahlo,Mexican
El Greco,Greek
El Greco,Spanish
Albrecht Dürer,German
Alfred Sisley,British
Alfred Sisley,French
Pieter Bruegel,Flemish
Marc Chagall,Belarusian
Marc Chagall,French
Marc Chagall,Jewish
Giotto di Bondone,Italian
Sandro Botticelli,Italian
Caravaggio,Italian
Leonardo da Vinci,Italian
Diego Velazquez,Spanish
Henri Matisse,French
Jan van Eyck,Flemish
Edgar Degas,French
Rembrandt,Dutch
Titian,Italian
Henri de Toulouse-Lautrec,French
Gustave Courbet,French
Camille Pissarro,French
William Turner,British
Edvard Munch,Norwegian
Paul Cezanne,French
Eugene Delacroix,French
Henri Rousseau,French
Georges Seurat,French
Paul Klee,German
Paul Klee,Swiss
Piet Mondrian,Dutch
Joan Miro,Spanish
Andy Warhol,American
Paul Gauguin,French
Raphael,Italian
Michelangelo,Italian
Jackson Pollock,American
